Genre,Total_Shipped
Action,16.75
Action-Adventure,0.9600000000000001
Adventure,8.07
Fighting,2.91
MMO,4.7
Misc,48.68000000000001
Music,2.5
Party,24.0
Platform,25.43
Puzzle,4.840000000000001
Racing,11.95
Role-Playing,38.83
Shooter,5.430000000000001
Simulation,1.8599999999999999
Sports,5.0
Strategy,7.279999999999999
Visual Novel,0.0
