Genre,Name
Action,99
Action-Adventure,1
Adventure,119
Education,1
Fighting,102
Misc,145
Platform,115
Puzzle,70
Racing,49
Role-Playing,90
Shooter,89
Simulation,64
Sports,157
Strategy,61
