Genre,Name
Action,292
Action-Adventure,8
Adventure,393
Fighting,98
MMO,2
Misc,496
Music,1
Platform,138
Puzzle,242
Racing,136
Role-Playing,187
Shooter,247
Simulation,222
Sports,341
Strategy,175
Visual Novel,1
