Platform,Name
2600,9
5200,2
7800,16
ACPC,7
AST,2
Amig,3
Arc,2
BRW,1
C64,5
GEN,1
Int,10
MS,31
MSX,4
NES,105
PC,52
PCE,2
PS2,1
Wii,1
XB,1
ZXS,4
