Platform,Name
2600,1
3DS,1
7800,1
AJ,1
Arc,1
DC,49
DSiW,2
GB,21
GBA,375
GBC,1
GC,160
GIZ,1
Lynx,1
N64,1
NES,1
NG,4
OSX,1
PC,341
PS,180
PS2,378
PS3,1
PS4,1
SCD,1
WS,27
WW,1
Wii,1
XB,180
XBL,2
XOne,1
