Platform,Name
2600,1
3DS,232
And,249
Arc,1
BRW,22
DS,26
DSi,17
DSiW,1
Linux,38
Lynx,1
MS,1
Mob,1
OSX,88
Ouya,2
PC,326
PS,1
PS2,2
PS3,205
PS4,32
PSN,4
PSP,77
PSV,90
WW,2
Wii,21
WiiU,77
WinP,24
X360,131
XBL,13
XOne,28
iOS,10
