Platform,Name
3DO,131
AJ,32
And,1
CDi,1
GB,83
GEN,89
GG,70
GIZ,3
MS,6
MSD,4
Mob,1
NES,2
NG,38
OSX,2
PC,167
PCE,9
PCFX,12
PS,100
PS3,4
PSN,1
PSP,1
SAT,113
SCD,16
SNES,247
VB,20
WW,3
X360,4
XB,1
XBL,1
