Platform,Name
3DS,210
And,48
Arc,1
BRW,6
DC,2
DS,240
DSi,13
DSiW,182
GIZ,1
Linux,6
MS,1
OSX,28
PC,683
PS,3
PS2,13
PS3,283
PSN,523
PSP,223
PSV,17
VC,43
WW,63
Wii,199
WiiU,1
WinP,4
X360,259
XB,1
XBL,434
XOne,1
iOS,1
