Platform,Name
2600,3
3DS,1
DC,155
DS,3
DSiW,1
GB,171
GBA,199
GBC,4
GC,20
Mob,1
N64,18
NG,2
PC,322
PS,273
PS2,230
PS3,2
PSN,3
PSP,2
SCD,1
WS,42
WW,1
Wii,1
X360,2
XB,36
