Genre,Name
Action,7667
Action-Adventure,609
Adventure,5293
Board Game,16
Education,12
Fighting,2085
MMO,74
Misc,9476
Music,195
Party,75
Platform,3445
Puzzle,3162
Racing,3030
Role-Playing,4551
Sandbox,9
Shooter,4586
Simulation,2737
Sports,5244
Strategy,3266
Visual Novel,260
