Platform,Name
2600,1
3DS,5
And,5
CD32,1
DS,1
GBA,1
Int,1
Linux,2
NS,218
OSX,5
PC,151
PS2,1
PS3,2
PS4,192
PSP,1
PSV,20
Wii,2
WiiU,3
X360,2
XOne,112
iOS,3
