Genre,Name
Action,480
Action-Adventure,6
Adventure,350
Fighting,116
MMO,6
Misc,671
Music,3
Party,3
Platform,199
Puzzle,269
Racing,178
Role-Playing,322
Shooter,331
Simulation,142
Sports,220
Strategy,184
Visual Novel,9
