Genre,Total_Shipped
Action,0.0
Adventure,9.24
Fighting,5.42
Misc,0.0
Platform,1.76
Puzzle,0.0
Racing,1.96
Role-Playing,0.0
Shooter,0.0
Simulation,0.0
Sports,7.19
Strategy,0.0
