Genre,Total_Shipped
Action,0.0
Action-Adventure,0.0
Adventure,0.0
Board Game,0.0
Education,0.0
Fighting,0.0
MMO,0.0
Misc,0.0
Music,0.0
Party,0.0
Platform,0.37
Puzzle,0.0
Racing,0.0
Role-Playing,0.0
Sandbox,0.0
Shooter,0.0
Simulation,0.25
Sports,0.0
Strategy,1.12
Visual Novel,0.0
