Genre,Total_Shipped
Action,2.45
Action-Adventure,0.58
Adventure,4.67
Fighting,0.0
Misc,1.0
Platform,1.03
Puzzle,0.0
Racing,14.75
Role-Playing,11.0
Shooter,12.35
Simulation,2.04
Sports,0.0
Strategy,0.0
