Genre,Name
Action,179
Action-Adventure,1
Adventure,162
Education,1
Fighting,44
MMO,1
Misc,167
Party,2
Platform,81
Puzzle,58
Racing,135
Role-Playing,145
Sandbox,1
Shooter,93
Simulation,78
Sports,214
Strategy,131
