Genre,Total_Shipped
Action,24.659999999999993
Action-Adventure,3.8899999999999997
Adventure,11.650000000000002
Education,0.0
Fighting,2.4299999999999997
MMO,0.19
Misc,29.620000000000005
Music,0.0
Party,4.44
Platform,12.239999999999997
Puzzle,4.44
Racing,5.22
Role-Playing,32.5
Sandbox,0.37
Shooter,11.15
Simulation,21.979999999999997
Sports,0.91
Strategy,12.15
Visual Novel,0.11
