Genre,Name
Action,98
Action-Adventure,72
Adventure,64
Board Game,5
Education,1
Fighting,22
MMO,5
Misc,20
Music,6
Party,1
Platform,36
Puzzle,14
Racing,26
Role-Playing,127
Sandbox,3
Shooter,75
Simulation,33
Sports,22
Strategy,39
Visual Novel,60
