Platform,Name
2600,1
3DS,217
And,465
Arc,3
BRW,2
DC,1
DS,14
DSi,2
DSiW,2
GB,1
GBA,1
GIZ,2
Linux,141
MS,1
MSD,1
OSX,230
Ouya,13
PC,805
PCFX,2
PS2,1
PS3,210
PS4,143
PSN,4
PSP,34
PSV,201
WW,2
Wii,13
WiiU,135
WinP,21
X360,123
XBL,14
XOne,91
ZXS,1
iOS,6
iQue,2
