Genre,Total_Shipped
Action,0.47000000000000003
Action-Adventure,0.37
Adventure,6.27
Education,0.0
Fighting,3.2
Misc,0.0
Platform,15.78
Puzzle,0.0
Racing,0.0
Role-Playing,6.96
Shooter,0.23
Simulation,0.35
Sports,0.0
Strategy,0.0
