Genre,Total_Shipped
Action,25.49
Action-Adventure,0.72
Adventure,0.6000000000000001
Fighting,2.5
MMO,1.16
Misc,24.219999999999995
Party,0.0
Platform,20.220000000000002
Puzzle,1.52
Racing,1.4
Role-Playing,28.770000000000003
Shooter,37.85
Simulation,0.45
Sports,1.73
Strategy,11.270000000000001
Visual Novel,0.51
