Genre,Total_Shipped
Action,0.0
Adventure,0.0
Misc,0.0
Puzzle,0.0
Racing,0.0
Role-Playing,0.0
Shooter,0.0
Simulation,0.0
Sports,0.0
Strategy,0.0
