Platform,Name
3DS,1
AJ,4
Arc,2
GB,53
GEN,8
GG,1
GIZ,3
Linux,1
Lynx,2
MS,5
Mob,1
N64,50
NES,1
NG,9
NGage,1
OSX,1
PC,287
PCFX,17
PS,327
PS3,2
PSN,3
PSV,1
SAT,218
SNES,25
Wii,1
X360,3
XBL,3
