Genre,Name
Action,469
Action-Adventure,7
Adventure,416
Fighting,113
MMO,2
Misc,673
Music,2
Party,1
Platform,145
Puzzle,309
Racing,153
Role-Playing,299
Shooter,319
Simulation,226
Sports,312
Strategy,211
Visual Novel,4
