Platform,Name
2600,1
3DS,1
AST,1
Amig,2
Arc,1
C64,1
DS,3
DSiW,1
GB,157
GEN,132
GG,50
GIZ,1
Lynx,28
MS,37
MSD,2
NES,135
NG,12
PC,91
PCE,92
PS2,1
PS3,2
PSN,2
SCD,29
SNES,147
X360,2
XBL,4
