Genre,Name
Action,401
Action-Adventure,42
Adventure,149
Fighting,43
MMO,9
Misc,292
Music,35
Party,2
Platform,67
Puzzle,54
Racing,46
Role-Playing,151
Shooter,73
Simulation,69
Sports,106
Strategy,78
Visual Novel,16
