Platform,Name
3DS,196
And,111
Arc,3
BRW,24
DS,57
DSi,41
DSiW,5
GBA,1
Linux,16
Mob,2
OSX,52
PC,284
PCFX,1
PS,2
PS2,4
PS3,206
PSN,13
PSP,133
PSV,110
S32X,1
WW,3
Wii,69
WiiU,39
WinP,6
X360,157
XBL,21
iOS,3
