Platform,Name
AJ,1
Amig,1
DC,127
DS,2
DSiW,2
GB,182
GBA,1
GBC,4
GC,1
Lynx,2
N64,119
NG,8
OSX,2
PC,288
PS,454
PS2,1
PS3,1
PSN,2
PSP,1
SAT,8
SNES,7
WS,67
WW,2
Wii,2
