Genre,Name
Action,160
Action-Adventure,51
Adventure,65
Fighting,45
MMO,3
Misc,721
Music,20
Party,8
Platform,44
Puzzle,37
Racing,40
Role-Playing,94
Shooter,88
Simulation,48
Sports,90
Strategy,31
Visual Novel,15
