GEN,Adventure,0.19
GEN,Fighting,6.660000000000001
GEN,Misc,0.03
GEN,Platform,3.67
GEN,Puzzle,0.0
GEN,Racing,0.26
GEN,Role-Playing,0.35000000000000003
GEN,Shooter,0.13
GEN,Simulation,0.0
GEN,Sports,3.2
GEN,Strategy,0.19
GG,Action,0.0
GG,Adventure,0.0
GG,Fighting,0.0
GG,Misc,0.0
GG,Platform,0.04
GG,Puzzle,0.0
GG,Racing,0.0
GG,Role-Playing,0.0
GG,Shooter,0.0
GG,Simulation,0.0
GG,Sports,0.0
GG,Strategy,0.0
GIZ,Action,0.0
GIZ,Adventure,0.0
GIZ,Misc,0.0
GIZ,Puzzle,0.0
GIZ,Racing,0.0
GIZ,Role-Playing,0.0
GIZ,Shooter,0.0
GIZ,Simulation,0.0
GIZ,Sports,0.0
GIZ,Strategy,0.0
Int,Action,0.0
Int,Action-Adventure,0.0
Int,Adventure,0.0
Int,Misc,0.0
Int,Music,0.0
Int,Platform,0.0
Int,Puzzle,0.0
Int,Racing,0.0
Int,Role-Playing,0.0
Int,Shooter,0.0
Int,Sports,0.0
Int,Strategy,0.0
Linux,Action,0.0
Linux,Action-Adventure,0.0
Linux,Adventure,0.0
Linux,Fighting,0.0
Linux,Misc,0.0
Linux,Music,0.0
Linux,Platform,0.0
Linux,Puzzle,0.0
Linux,Racing,0.0
Linux,Role-Playing,0.0
Linux,Shooter,0.0
Linux,Simulation,0.0
Linux,Sports,0.0
Linux,Strategy,0.0
Linux,Visual Novel,0.0
Lynx,Action,0.0
Lynx,Misc,0.0
Lynx,Platform,0.0
Lynx,Puzzle,0.0
Lynx,Racing,0.0
Lynx,Role-Playing,0.0
Lynx,Shooter,0.0
Lynx,Simulation,0.0
Lynx,Sports,0.0
Lynx,Strategy,0.0
MS,Action,0.0
MS,Adventure,0.0
MS,Fighting,0.0
MS,Misc,0.0
MS,Platform,0.0
MS,Puzzle,0.0
MS,Racing,0.0
MS,Role-Playing,0.0
MS,Shooter,0.0
MS,Simulation,0.0
MS,Sports,0.0
MS,Strategy,0.0
MSD,Action,0.0
MSD,Adventure,0.0
MSD,Education,0.0
MSD,Fighting,0.0
MSD,Misc,0.0
MSD,Platform,0.0
MSD,Shooter,0.0
MSX,Misc,0.0
MSX,Platform,0.0
MSX,Shooter,0.0
Mob,Action,0.0
Mob,Action-Adventure,0.0
Mob,Misc,0.08
Mob,Platform,0.0
Mob,Shooter,0.0
