Platform,Name
3DS,81
And,26
Arc,1
DC,1
DS,2
GIZ,2
Linux,25
NES,1
OSX,35
Ouya,1
PC,318
PS3,54
PS4,304
PSN,1
PSP,1
PSV,157
Wii,1
WiiU,35
WinP,2
X360,21
XBL,2
XOne,160
iOS,7
