Platform,Name
2600,2
3DS,2
AJ,4
DC,254
DS,2
DSiW,1
GB,284
GBC,6
GC,1
Lynx,3
N64,85
NG,2
PC,304
PS,466
PS2,76
PS3,2
PSN,4
SAT,1
SCD,1
SNES,1
WS,50
WW,2
Wii,2
X360,2
XBL,4
