Platform,Name
2600,1
3DS,107
And,40
Arc,4
BRW,1
DC,1
DS,1
GBA,1
GIZ,1
Linux,65
Lynx,1
OSX,89
Ouya,5
PC,437
PS3,131
PS4,233
PSN,3
PSP,7
PSV,201
WW,2
Wii,12
WiiU,69
WinP,3
X360,59
XBL,3
XOne,153
iOS,3
