Genre,Total_Shipped
Action,289.3000000000005
Action-Adventure,80.36000000000011
Adventure,159.65
Board Game,0.0
Education,0.33
Fighting,148.65
MMO,27.700000000000003
Misc,307.6499999999998
Music,9.360000000000001
Party,46.96
Platform,575.4300000000003
Puzzle,110.32999999999998
Racing,258.93
Role-Playing,640.79
Sandbox,1.42
Shooter,289.1100000000002
Simulation,150.2900000000001
Sports,235.89999999999995
Strategy,112.30999999999997
Visual Novel,3.5500000000000003
