Platform,Name
2600,6
3DO,1
3DS,5
7800,10
ACPC,1
AST,1
Amig,2
ApII,1
Arc,1
C64,2
GB,101
GEN,57
GG,4
GIZ,1
Lynx,12
MS,27
MSD,1
NES,227
PC,82
PCE,112
PS2,1
SNES,1
TG16,1
Wii,4
X360,1
XBL,1
XOne,1
ZXS,1
iQue,1
