Platform,Name
AJ,1
Arc,4
DC,5
DS,1
GB,105
GBA,1
GBC,2
GC,1
GEN,2
Lynx,1
MS,1
Mob,2
N64,104
NES,1
NG,9
NS,1
PC,264
PCFX,7
PS,432
PS3,1
PSN,1
PSP,1
SAT,126
SNES,13
WW,1
Wii,2
X360,1
XB,2
XBL,1
iQue,1
