Genre,Total_Shipped
Action,0.77
Action-Adventure,20.239999999999995
Adventure,5.859999999999999
Board Game,0.0
Fighting,12.52
MMO,3.4
Misc,1.06
Music,0.0
Party,5.3
Platform,4.66
Puzzle,2.06
Racing,0.1
Role-Playing,17.37
Sandbox,0.26
Shooter,0.77
Simulation,1.02
Sports,2.53
Strategy,0.52
Visual Novel,0.0
