Platform,Name
2600,1
3DS,2
DC,2
DS,693
DSiW,4
GBA,2
GIZ,1
Mob,3
NES,1
NGage,2
OSX,3
PC,550
PS2,311
PS3,158
PS4,1
PSN,154
PSP,163
PSV,2
SAT,1
VC,134
WW,73
Wii,330
X360,168
XB,2
XBL,217
XOne,1
