Platform,Name
3DO,31
AJ,9
Arc,4
DS,1
GB,50
GEN,31
GG,18
GIZ,1
Linux,2
Lynx,1
MS,10
MSD,2
Mob,1
N64,15
NG,20
OSX,7
PC,270
PCE,2
PCFX,23
PS,316
PS2,1
PS3,4
SAT,267
SCD,1
SNES,124
VB,2
WW,2
Wii,2
X360,1
XBL,2
